PID,Price,Area,City,No. of Bedrooms,Resale,SwimmingPool,ShoppingMall,24X7Security,PowerBackup,Hospital,AC,Furnished
6973,4,1350,6,2,0,0,1,0,0,0,0,1
6150,3,1150,6,2,1,0,1,0,1,1,0,0
4421,1,750,5,2,0,5,5,5,5,5,5,5
7519,4,1180,6,2,1,5,5,5,5,5,5,5
4003,2,1050,4,2,0,0,0,0,1,0,0,0
6112,3,895,6,2,1,0,0,0,0,0,0,1
3793,3,1770,4,3,0,1,0,1,1,0,0,1
4568,2,951,5,2,0,5,5,5,5,5,5,5
5493,1,1500,5,3,1,5,5,5,5,5,5,5
4783,3,827,5,2,0,5,5,5,5,5,5,5
5553,4,888,5,3,0,5,5,5,5,5,5,5
3282,4,1665,4,3,1,0,0,0,1,0,0,0
3972,4,1840,4,3,0,0,0,0,1,0,0,0
5504,1,905,5,2,1,5,5,5,5,5,5,5
7379,1,530,6,1,0,0,0,0,0,0,0,0
6114,4,1197,6,2,1,0,1,0,0,0,1,1
5481,2,1116,5,3,1,5,5,5,5,5,5,5
1169,4,2000,2,3,1,0,0,0,0,0,0,0
5057,1,890,5,2,0,5,5,5,5,5,5,5
7126,3,1065,6,2,1,0,0,0,0,0,0,0
5121,1,1100,5,2,1,5,5,5,5,5,5,5
291,2,1183,1,2,0,1,0,0,1,0,0,1
3865,1,1100,4,2,0,0,0,0,0,0,0,0
1178,2,954,2,2,1,0,0,0,0,0,0,0
232,3,1285,1,2,0,1,1,1,0,1,0,1
7190,4,1350,6,3,1,0,1,0,0,1,0,0
2764,1,675,3,3,0,0,0,0,0,0,0,0
3799,4,1885,4,3,0,0,0,0,0,0,0,0
1193,3,1140,2,2,0,1,0,0,1,0,0,0
5288,1,1200,5,3,0,5,5,5,5,5,5,5
3700,3,1730,4,3,0,0,0,0,1,0,0,0
4304,2,1279,4,2,0,0,0,0,0,0,0,0
5140,1,4456,5,5,0,5,5,5,5,5,5,5
2226,2,900,3,3,1,0,0,0,0,0,0,0
1438,4,1850,2,3,0,1,0,0,0,0,0,0
6753,1,275,6,1,1,0,1,0,0,0,1,0
2851,1,585,3,2,1,0,0,0,0,0,0,0
1466,2,951,2,2,0,0,0,0,0,0,0,0
3277,3,1792,4,3,1,1,0,1,1,0,0,0
1353,3,1557,2,3,0,1,0,0,1,0,0,0
5320,4,1034,5,2,1,5,5,5,5,5,5,5
2864,4,2000,3,3,1,0,0,0,1,0,0,0
3486,4,4500,4,4,1,0,0,0,0,0,0,0
6409,2,690,6,1,1,0,0,1,0,0,1,0
792,2,1163,1,2,0,1,0,0,1,0,1,0
5749,2,810,5,2,0,5,5,5,5,5,5,5
5327,3,920,5,2,1,5,5,5,5,5,5,5
6908,2,702,6,1,0,0,0,0,0,0,0,0
6105,2,680,6,1,1,0,0,0,0,0,0,0
4784,3,1480,5,3,1,5,5,5,5,5,5,5
2475,1,900,3,3,0,0,0,0,0,0,0,0
6902,4,1525,6,2,0,0,0,0,0,0,0,0
7604,4,740,6,1,1,5,5,5,5,5,5,5
7259,4,1950,6,3,1,0,1,0,0,0,0,0
1140,2,963,2,2,0,0,0,0,1,0,0,0
5576,4,1575,5,3,1,5,5,5,5,5,5,5
7510,4,675,6,1,1,5,5,5,5,5,5,5
5030,3,1522,5,3,1,5,5,5,5,5,5,5
7686,2,600,6,2,1,5,5,5,5,5,5,5
7434,3,1050,6,2,1,0,0,0,0,0,0,1
4377,2,1281,5,3,1,0,0,0,0,0,0,0
6405,1,530,6,1,1,0,0,1,0,0,1,0
5302,1,780,5,2,1,5,5,5,5,5,5,5
2096,4,1800,3,3,1,0,0,0,1,0,0,0
2213,1,650,3,2,1,0,0,0,0,0,0,0
3474,1,1050,4,2,0,0,0,0,1,0,0,0
551,2,1117,1,2,0,1,0,1,1,0,0,1
1931,3,1100,3,2,1,0,0,0,1,0,0,0
117,3,1195,1,3,0,1,0,0,1,0,0,0
5544,1,1160,5,1,1,5,5,5,5,5,5,5
5907,2,742,5,2,0,5,5,5,5,5,5,5
2185,1,450,3,2,0,0,0,0,0,0,0,0
4590,1,655,5,2,0,5,5,5,5,5,5,5
5842,4,770,5,2,0,5,5,5,5,5,5,5
6256,2,580,6,1,1,0,0,0,0,0,0,0
239,2,1100,1,2,0,1,0,0,1,0,0,0
1782,4,1610,2,3,0,1,0,0,1,0,0,1
4109,1,1080,4,2,0,0,0,0,0,0,0,0
2455,1,900,3,3,0,0,0,0,0,0,0,0
4295,3,1270,4,3,0,1,1,1,1,0,0,1
4063,2,1200,4,2,0,0,0,0,1,0,0,0
2732,2,900,3,3,0,0,0,0,0,0,0,0
4153,2,1555,4,3,0,1,0,0,1,0,0,0
2483,4,1900,3,3,1,0,0,0,1,0,0,1
7454,4,2355,6,4,1,1,1,0,0,0,0,1
2802,1,640,3,2,0,0,0,0,0,0,0,0
6954,4,1660,6,3,1,0,1,0,0,0,0,0
664,2,1095,1,2,0,0,0,0,1,0,0,1
5888,1,750,5,2,0,5,5,5,5,5,5,5
694,4,1930,1,3,1,1,1,1,1,1,0,0
7566,1,560,6,1,1,5,5,5,5,5,5,5
3437,3,1710,4,3,1,0,0,0,0,0,0,0
5538,1,800,5,2,0,5,5,5,5,5,5,5
4547,1,1188,5,3,0,5,5,5,5,5,5,5
6576,2,580,6,1,1,0,0,0,1,1,0,1
2382,4,1700,3,3,1,0,0,0,0,0,0,0
795,1,708,1,2,0,1,0,0,1,0,1,0
1992,4,1800,3,3,1,0,0,0,0,0,0,0
2865,4,1700,3,3,1,0,0,1,1,0,0,0
6252,2,550,6,1,1,0,0,0,0,0,0,0
4640,1,1079,5,3,0,5,5,5,5,5,5,5
7529,1,1412,6,3,1,5,5,5,5,5,5,5
3727,3,1525,4,3,0,0,0,0,0,0,0,0
5379,1,1480,5,3,1,5,5,5,5,5,5,5
684,3,1290,1,2,0,1,0,1,1,0,0,1
1796,1,1062,2,2,0,0,0,0,1,0,0,0
1706,4,3050,2,3,1,0,0,0,1,0,0,0
3422,4,2490,4,3,1,1,0,0,1,0,1,0
126,4,1833,1,3,0,1,0,1,1,0,0,1
614,3,1502,1,3,0,1,0,1,1,0,0,1
2117,4,1800,3,3,1,0,0,0,1,0,0,0
7075,2,850,6,1,1,0,0,0,0,0,0,0
3596,3,1435,4,3,0,1,0,0,1,0,0,0
